Crime,3.162583937888232,907
Romance,3.1562777018393624,1206
TV Movie,3.148118069220997,87
Thriller,3.1482817481660916,1427
Adventure,3.168709062525581,707
Foreign,3.113985834407914,271
Drama,3.139121624291451,3724
War,3.1146633826061434,231
Documentary,3.074235609323985,503
Family,3.1569054919202846,386
Fantasy,3.1429135219007014,463
History,3.118791045849541,306
Mystery,3.148769392655548,475
Animation,3.175885456020015,223
Music,3.1890477821347654,248
Science Fiction,3.157163683913986,593
Horror,3.1340202623924744,723
Western,3.214060718187101,185
Comedy,3.1370494677399536,2113
Action,3.158532929451069,1175
